x,u1,u2
0,1.80651e-33,6.02748e-33
0.00333333,-0.000149551,0.00545929
0.00666667,-0.000357414,0.0108292
0.01,-0.000623588,0.0161096
0.0133333,-0.000948073,0.0213007
0.0166667,-0.00133087,0.0264024
0.02,-0.00177198,0.0314146
0.0233333,-0.0022714,0.0363375
0.0266667,-0.00282913,0.041171
0.03,-0.00344517,0.045915
0.0333333,-0.00411952,0.0505696
0.0366667,-0.00485218,0.0551349
0.04,-0.00564316,0.0596107
0.0433333,-0.00649244,0.0639971
0.0466667,-0.00740004,0.0682942
0.05,-0.00836595,0.0725018
0.0533333,-0.00939017,0.07662
0.0566667,-0.0104727,0.0806488
0.06,-0.0116135,0.0845882
0.0633333,-0.0128127,0.0884382
0.0666667,-0.0140702,0.0921988
0.07,-0.0153859,0.09587
0.0733333,-0.01676,0.0994518
0.0766667,-0.0181924,0.102944
0.08,-0.0196831,0.106347
0.0833333,-0.0212322,0.109661
0.0866667,-0.0228395,0.112885
0.09,-0.0245051,0.11602
0.0933333,-0.0262291,0.119065
0.0966667,-0.0280113,0.122021
0.1,-0.0298519,0.124887
0.103333,-0.031654,0.127594
0.106667,-0.0334651,0.130214
0.11,-0.0352852,0.132747
0.113333,-0.0371143,0.135192
0.116667,-0.0389524,0.13755
0.12,-0.0407996,0.139821
0.123333,-0.0426558,0.142005
0.126667,-0.044521,0.144102
0.13,-0.0463952,0.146112
0.133333,-0.0482784,0.148034
0.136667,-0.0501707,0.149869
0.14,-0.052072,0.151617
0.143333,-0.0539823,0.153278
0.146667,-0.0559016,0.154852
0.15,-0.05783,0.156338
0.153333,-0.0597673,0.157738
0.156667,-0.0617137,0.15905
0.16,-0.0636691,0.160275
0.163333,-0.0656336,0.161413
0.166667,-0.067607,0.162464
0.17,-0.0695895,0.163427
0.173333,-0.071581,0.164303
0.176667,-0.0735815,0.165093
0.18,-0.075591,0.165795
0.183333,-0.0776096,0.166409
0.186667,-0.0796371,0.166937
0.19,-0.0816737,0.167378
0.193333,-0.0837193,0.167731
0.196667,-0.085774,0.167997
0.2,-0.0878376,0.168176
0.203333,-0.0898468,0.168233
0.206667,-0.0918382,0.168232
0.21,-0.0938119,0.168172
0.213333,-0.0957677,0.168054
0.216667,-0.0977058,0.167877
0.22,-0.099626,0.167642
0.223333,-0.101528,0.167349
0.226667,-0.103413,0.166997
0.23,-0.10528,0.166587
0.233333,-0.107129,0.166118
0.236667,-0.10896,0.165591
0.24,-0.110774,0.165006
0.243333,-0.11257,0.164362
0.246667,-0.114348,0.16366
0.25,-0.116108,0.162899
0.253333,-0.11785,0.16208
0.256667,-0.119575,0.161202
0.26,-0.121281,0.160266
0.263333,-0.12297,0.159272
0.266667,-0.124642,0.15822
0.27,-0.126295,0.157108
0.273333,-0.127931,0.155939
0.276667,-0.129548,0.154711
0.28,-0.131148,0.153425
0.283333,-0.132731,0.15208
0.286667,-0.134295,0.150677
0.29,-0.135842,0.149215
0.293333,-0.13737,0.147695
0.296667,-0.138882,0.146117
0.3,-0.140375,0.14448
0.303333,-0.141816,0.14277
0.306667,-0.143232,0.14103
0.31,-0.144625,0.139262
0.313333,-0.145993,0.137465
0.316667,-0.147337,0.13564
0.32,-0.148657,0.133786
0.323333,-0.149953,0.131904
0.326667,-0.151224,0.129992
0.33,-0.152472,0.128053
0.333333,-0.153695,0.126084
0.336667,-0.154893,0.124087
0.34,-0.156068,0.122062
0.343333,-0.157218,0.120008
0.346667,-0.158345,0.117925
0.35,-0.159447,0.115813
0.353333,-0.160524,0.113673
0.356667,-0.161578,0.111505
0.36,-0.162607,0.109307
0.363333,-0.163612,0.107082
0.366667,-0.164593,0.104827
0.37,-0.16555,0.102544
0.373333,-0.166483,0.100232
0.376667,-0.167391,0.097892
0.38,-0.168275,0.095523
0.383333,-0.169135,0.0931255
0.386667,-0.169971,0.0906994
0.39,-0.170782,0.0882446
0.393333,-0.171569,0.0857612
0.396667,-0.172332,0.0832493
0.4,-0.173071,0.0807087
0.403333,-0.17377,0.0781337
0.406667,-0.174444,0.0755509
0.41,-0.175096,0.0729604
0.413333,-0.175723,0.070362
0.416667,-0.176327,0.0677559
0.42,-0.176908,0.065142
0.423333,-0.177465,0.0625202
0.426667,-0.177998,0.0598907
0.43,-0.178507,0.0572534
0.433333,-0.178993,0.0546084
0.436667,-0.179456,0.0519555
0.44,-0.179895,0.0492948
0.443333,-0.18031,0.0466264
0.446667,-0.180702,0.0439501
0.45,-0.18107,0.0412661
0.453333,-0.181414,0.0385742
0.456667,-0.181735,0.0358746
0.46,-0.182033,0.0331672
0.463333,-0.182306,0.030452
0.466667,-0.182557,0.027729
0.47,-0.182783,0.0249983
0.473333,-0.182986,0.0222597
0.476667,-0.183165,0.0195133
0.48,-0.183321,0.0167592
0.483333,-0.183453,0.0139972
0.486667,-0.183562,0.0112275
0.49,-0.183647,0.00845
0.493333,-0.183708,0.00566469
0.496667,-0.183746,0.0028716
0.5,-0.18376,7.07071e-05
0.503333,-0.18374,-0.00274143
0.506667,-0.183696,-0.00554489
0.51,-0.18363,-0.00833966
0.513333,-0.18354,-0.0111258
0.516667,-0.183428,-0.0139032
0.52,-0.183292,-0.0166719
0.523333,-0.183134,-0.0194319
0.526667,-0.182953,-0.0221833
0.53,-0.182749,-0.024926
0.533333,-0.182521,-0.02766
0.536667,-0.182271,-0.0303853
0.54,-0.181998,-0.033102
0.543333,-0.181702,-0.0358099
0.546667,-0.181383,-0.0385092
0.55,-0.181041,-0.0411998
0.553333,-0.180676,-0.0438817
0.556667,-0.180288,-0.046555
0.56,-0.179877,-0.0492195
0.563333,-0.179443,-0.0518754
0.566667,-0.178986,-0.0545226
0.57,-0.178507,-0.0571611
0.573333,-0.178004,-0.0597909
0.576667,-0.177478,-0.0624121
0.58,-0.17693,-0.0650245
0.583333,-0.176358,-0.0676283
0.586667,-0.175763,-0.0702234
0.59,-0.175146,-0.0728098
0.593333,-0.174505,-0.0753876
0.596667,-0.173842,-0.0779566
0.6,-0.173156,-0.080517
0.603333,-0.172423,-0.0830816
0.606667,-0.171665,-0.0856159
0.61,-0.170884,-0.0881199
0.613333,-0.170078,-0.0905937
0.616667,-0.169248,-0.0930371
0.62,-0.168394,-0.0954503
0.623333,-0.167515,-0.0978332
0.626667,-0.166612,-0.100186
0.63,-0.165685,-0.102508
0.633333,-0.164734,-0.1048
0.636667,-0.163758,-0.107062
0.64,-0.162758,-0.109294
0.643333,-0.161734,-0.111495
0.646667,-0.160686,-0.113666
0.65,-0.159614,-0.115806
0.653333,-0.158517,-0.117917
0.656667,-0.157396,-0.119997
0.66,-0.15625,-0.122047
0.663333,-0.155081,-0.124066
0.666667,-0.153887,-0.126056
0.67,-0.152669,-0.128015
0.673333,-0.151427,-0.129943
0.676667,-0.15016,-0.131842
0.68,-0.14887,-0.13371
0.683333,-0.147555,-0.135548
0.686667,-0.146215,-0.137356
0.69,-0.144852,-0.139133
0.693333,-0.143464,-0.14088
0.696667,-0.142052,-0.142597
0.7,-0.140616,-0.144283
0.703333,-0.139142,-0.145942
0.706667,-0.137648,-0.147541
0.71,-0.136137,-0.149081
0.713333,-0.134606,-0.150562
0.716667,-0.133056,-0.151983
0.72,-0.131488,-0.153344
0.723333,-0.1299,-0.154646
0.726667,-0.128294,-0.155888
0.73,-0.126669,-0.157071
0.733333,-0.125025,-0.158195
0.736667,-0.123362,-0.159259
0.74,-0.12168,-0.160263
0.743333,-0.119979,-0.161208
0.746667,-0.11826,-0.162094
0.75,-0.116521,-0.16292
0.753333,-0.114764,-0.163686
0.756667,-0.112988,-0.164394
0.76,-0.111193,-0.165041
0.763333,-0.109379,-0.165629
0.766667,-0.107546,-0.166158
0.77,-0.105695,-0.166627
0.773333,-0.103824,-0.167037
0.776667,-0.101935,-0.167387
0.78,-0.100026,-0.167677
0.783333,-0.0980991,-0.167909
0.786667,-0.0961531,-0.16808
0.79,-0.0941881,-0.168193
0.793333,-0.0922044,-0.168245
0.796667,-0.0902017,-0.168238
0.8,-0.0881802,-0.168172
0.803333,-0.086142,-0.168042
0.806667,-0.08411,-0.167822
0.81,-0.082084,-0.167512
0.813333,-0.0800641,-0.167111
0.816667,-0.0780503,-0.16662
0.82,-0.0760426,-0.166039
0.823333,-0.0740409,-0.165367
0.826667,-0.0720453,-0.164605
0.83,-0.0700558,-0.163753
0.833333,-0.0680724,-0.162811
0.836667,-0.0660951,-0.161778
0.84,-0.0641238,-0.160656
0.843333,-0.0621586,-0.159443
0.846667,-0.0601995,-0.158139
0.85,-0.0582465,-0.156746
0.853333,-0.0562996,-0.155262
0.856667,-0.0543587,-0.153688
0.86,-0.0524239,-0.152024
0.863333,-0.0504952,-0.150269
0.866667,-0.0485726,-0.148424
0.87,-0.046656,-0.146489
0.873333,-0.0447456,-0.144464
0.876667,-0.0428412,-0.142348
0.88,-0.0409429,-0.140143
0.883333,-0.0390506,-0.137847
0.886667,-0.0371645,-0.13546
0.89,-0.0352844,-0.132984
0.893333,-0.0334104,-0.130417
0.896667,-0.0315425,-0.12776
0.9,-0.0296807,-0.125012
0.903333,-0.0278705,-0.122155
0.906667,-0.0261168,-0.119208
0.91,-0.0244198,-0.11617
0.913333,-0.0227794,-0.113042
0.916667,-0.0211956,-0.109824
0.92,-0.0196685,-0.106515
0.923333,-0.0181979,-0.103116
0.926667,-0.0167839,-0.099626
0.93,-0.0154266,-0.0960462
0.933333,-0.0141259,-0.092376
0.936667,-0.0128818,-0.0886155
0.94,-0.0116943,-0.0847646
0.943333,-0.0105634,-0.0808234
0.946667,-0.00948911,-0.0767918
0.95,-0.00847145,-0.0726699
0.953333,-0.0075104,-0.0684576
0.956667,-0.00660596,-0.064155
0.96,-0.00575813,-0.0597621
0.963333,-0.00496692,-0.0552788
0.966667,-0.00423232,-0.0507052
0.97,-0.00355433,-0.0460412
0.973333,-0.00293296,-0.0412869
0.976667,-0.00236819,-0.0364422
0.98,-0.00186004,-0.0315072
0.983333,-0.0014085,-0.0264819
0.986667,-0.00101358,-0.0213662
0.99,-0.000675265,-0.0161602
0.993333,-0.000393564,-0.0108638
0.996667,-0.000168476,-0.00547706
1,1.93945e-33,-5.89719e-33
